LF,age_group,SF_var,Item
LF4,A,CREDI_A01,CREDI_LS02
LF6,A,CREDI_A02,CREDI_LM03
LF8,A,CREDI_A03,CREDI_LC02
LF12,A,CREDI_A04,CREDI_LC04
LF18,A,CREDI_A05,CREDI_LM07
LF14,A,CREDI_A06,CREDI_LM08
LF16,A,CREDI_A07,CREDI_LM09
LF22,A,CREDI_A08,CREDI_LC11
LF15,A,CREDI_A09,CREDI_LC06
LF4,A,CREDI_A1,CREDI_LS02
LF21,A,CREDI_A10,CREDI_LC07
LF19,A,CREDI_A11,CREDI_LC08
LF20,A,CREDI_A12,CREDI_LM10
LF26,A,CREDI_A13,CREDI_LM11
LF27,A,CREDI_A14,CREDI_LM14
LF30,A,CREDI_A15,CREDI_LC12
LF25,A,CREDI_A16,CREDI_LM12
LF33,A,CREDI_A17,CREDI_LM18
LF32,A,CREDI_A18,CREDI_LM17
LF35,A,CREDI_A19,CREDI_LC13
LF6,A,CREDI_A2,CREDI_LM03
LF34,A,CREDI_A20,CREDI_LM19
LF8,A,CREDI_A3,CREDI_LC02
LF12,A,CREDI_A4,CREDI_LC04
LF18,A,CREDI_A5,CREDI_LM07
LF14,A,CREDI_A6,CREDI_LM08
LF16,A,CREDI_A7,CREDI_LM09
LF22,A,CREDI_A8,CREDI_LC11
LF15,A,CREDI_A9,CREDI_LC06
LF14,B,CREDI_B01,CREDI_LM08
LF19,B,CREDI_B02,CREDI_LC08
LF21,B,CREDI_B03,CREDI_LC07
LF15,B,CREDI_B04,CREDI_LC06
LF20,B,CREDI_B05,CREDI_LM10
LF22,B,CREDI_B06,CREDI_LC11
LF26,B,CREDI_B07,CREDI_LM11
LF25,B,CREDI_B08,CREDI_LM12
LF27,B,CREDI_B09,CREDI_LM14
LF14,B,CREDI_B1,CREDI_LM08
LF30,B,CREDI_B10,CREDI_LC12
LF32,B,CREDI_B11,CREDI_LM17
LF33,B,CREDI_B12,CREDI_LM18
LF35,B,CREDI_B13,CREDI_LC13
LF42,B,CREDI_B14,CREDI_LS05
LF34,B,CREDI_B15,CREDI_LM19
LF37,B,CREDI_B16,CREDI_LC14
LF36,B,CREDI_B17,CREDI_LM20
LF48,B,CREDI_B18,CREDI_LC17
LF44,B,CREDI_B19,CREDI_LM23
LF19,B,CREDI_B2,CREDI_LC08
LF47,B,CREDI_B20,CREDI_LM24
LF21,B,CREDI_B3,CREDI_LC07
LF15,B,CREDI_B4,CREDI_LC06
LF20,B,CREDI_B5,CREDI_LM10
LF22,B,CREDI_B6,CREDI_LC11
LF26,B,CREDI_B7,CREDI_LM11
LF25,B,CREDI_B8,CREDI_LM12
LF27,B,CREDI_B9,CREDI_LM14
LF36,C,CREDI_C01,CREDI_LM20
LF37,C,CREDI_C02,CREDI_LC14
LF55,C,CREDI_C03,CREDI_LS08
LF44,C,CREDI_C04,CREDI_LM23
LF59,C,CREDI_C05,CREDI_LS09
LF68,C,CREDI_C06,CREDI_LS11
LF48,C,CREDI_C07,CREDI_LC17
LF47,C,CREDI_C08,CREDI_LM24
LF63,C,CREDI_C09,CREDI_LS13
LF36,C,CREDI_C1,CREDI_LM20
LF66,C,CREDI_C10,CREDI_LS14
LF51,C,CREDI_C11,CREDI_LM27
LF49,C,CREDI_C12,CREDI_LM25
LF54,C,CREDI_C13,CREDI_LM28
LF53,C,CREDI_C14,CREDI_LC19
LF65,C,CREDI_C15,CREDI_LC22
LF64,C,CREDI_C16,CREDI_LC24
LF62,C,CREDI_C17,CREDI_LC23
LF67,C,CREDI_C18,CREDI_LM30
LF72,C,CREDI_C19,CREDI_LC26
LF37,C,CREDI_C2,CREDI_LC14
LF76,C,CREDI_C20,CREDI_LC29
LF55,C,CREDI_C3,CREDI_LS08
LF44,C,CREDI_C4,CREDI_LM23
LF59,C,CREDI_C5,CREDI_LS09
LF68,C,CREDI_C6,CREDI_LS11
LF48,C,CREDI_C7,CREDI_LC17
LF47,C,CREDI_C8,CREDI_LM24
LF63,C,CREDI_C9,CREDI_LS13
LF67,D,CREDI_D01,CREDI_LM30
LF62,D,CREDI_D02,CREDI_LC23
LF64,D,CREDI_D03,CREDI_LC24
LF72,D,CREDI_D04,CREDI_LC26
LF77,D,CREDI_D05,CREDI_LM32
LF76,D,CREDI_D06,CREDI_LC29
LF78,D,CREDI_D07,CREDI_LS19
LF81,D,CREDI_D08,CREDI_LC30
LF82,D,CREDI_D09,CREDI_LM33
LF67,D,CREDI_D1,CREDI_LM30
LF88,D,CREDI_D10,CREDI_LC34
LF87,D,CREDI_D11,CREDI_LC33
LF90,D,CREDI_D12,CREDI_LC36
LF83,D,CREDI_D13,CREDI_LC32
LF92,D,CREDI_D14,CREDI_LC37
LF94,D,CREDI_D15,CREDI_LC38
LF97,D,CREDI_D16,CREDI_LC39
LF100,D,CREDI_D17,CREDI_LC41
LF96,D,CREDI_D18,CREDI_LC42
LF91,D,CREDI_D19,CREDI_LS21
LF62,D,CREDI_D2,CREDI_LC23
LF99,D,CREDI_D20,CREDI_LC43
LF64,D,CREDI_D3,CREDI_LC24
LF72,D,CREDI_D4,CREDI_LC26
LF77,D,CREDI_D5,CREDI_LM32
LF76,D,CREDI_D6,CREDI_LC29
LF78,D,CREDI_D7,CREDI_LS19
LF81,D,CREDI_D8,CREDI_LC30
LF82,D,CREDI_D9,CREDI_LM33
LF72,E,CREDI_E01,CREDI_LC26
LF76,E,CREDI_E02,CREDI_LC29
LF81,E,CREDI_E03,CREDI_LC30
LF82,E,CREDI_E04,CREDI_LM33
LF83,E,CREDI_E05,CREDI_LC32
LF87,E,CREDI_E06,CREDI_LC33
LF88,E,CREDI_E07,CREDI_LC34
LF91,E,CREDI_E08,CREDI_LS21
LF90,E,CREDI_E09,CREDI_LC36
LF72,E,CREDI_E1,CREDI_LC26
LF94,E,CREDI_E10,CREDI_LC38
LFMH8,E,CREDI_E11,CREDI_LMH08
LF92,E,CREDI_E12,CREDI_LC37
LFMH9,E,CREDI_E13,CREDI_LMH09
LF96,E,CREDI_E14,CREDI_LC42
LF99,E,CREDI_E15,CREDI_LC43
LF100,E,CREDI_E16,CREDI_LC41
LF97,E,CREDI_E17,CREDI_LC39
LF98,E,CREDI_E18,CREDI_LM36
LF104,E,CREDI_E19,CREDI_LS25
LF76,E,CREDI_E2,CREDI_LC29
LF107,E,CREDI_E20,CREDI_LC44
LF81,E,CREDI_E3,CREDI_LC30
LF82,E,CREDI_E4,CREDI_LM33
LF83,E,CREDI_E5,CREDI_LC32
LF87,E,CREDI_E6,CREDI_LC33
LF88,E,CREDI_E7,CREDI_LC34
LF91,E,CREDI_E8,CREDI_LS21
LF90,E,CREDI_E9,CREDI_LC36
LF76,F,CREDI_F01,CREDI_LC29
LF82,F,CREDI_F02,CREDI_LM33
LF83,F,CREDI_F03,CREDI_LC32
LF81,F,CREDI_F04,CREDI_LC30
LF87,F,CREDI_F05,CREDI_LC33
LF91,F,CREDI_F06,CREDI_LS21
LF88,F,CREDI_F07,CREDI_LC34
LF90,F,CREDI_F08,CREDI_LC36
LF94,F,CREDI_F09,CREDI_LC38
LF76,F,CREDI_F1,CREDI_LC29
LF92,F,CREDI_F10,CREDI_LC37
LF96,F,CREDI_F11,CREDI_LC42
LF97,F,CREDI_F12,CREDI_LC39
LF98,F,CREDI_F13,CREDI_LM36
LF99,F,CREDI_F14,CREDI_LC43
LF100,F,CREDI_F15,CREDI_LC41
LFMH8,F,CREDI_F16,CREDI_LMH08
LFMH9,F,CREDI_F17,CREDI_LMH09
LF102,F,CREDI_F18,CREDI_LS23
LF104,F,CREDI_F19,CREDI_LS25
LF82,F,CREDI_F2,CREDI_LM33
LF107,F,CREDI_F20,CREDI_LC44
LF83,F,CREDI_F3,CREDI_LC32
LF81,F,CREDI_F4,CREDI_LC30
LF87,F,CREDI_F5,CREDI_LC33
LF91,F,CREDI_F6,CREDI_LS21
LF88,F,CREDI_F7,CREDI_LC34
LF90,F,CREDI_F8,CREDI_LC36
LF94,F,CREDI_F9,CREDI_LC38
